lang	headline	word1	word2	joke_v1	joke_v2	joke
zh	-	喷洒	椅子	社区消杀队误把消毒水喷洒到广场舞大妈的折叠椅上，结果椅子一坐就“滋滋”冒泡，吓得大爷以为自己长了痔疮。	消杀队刚喷洒完消毒水，大爷一屁股坐上椅子，腾地弹起来：“这椅子成精了？！”——其实是椅面残留的84消毒液，正和他新买的防脱洗发水发生化学反应。	社区消杀队误把消毒水喷洒到广场舞大妈的折叠椅上，结果椅子一坐就“滋滋”冒泡，吓得大爷以为自己长了痔疮。
zh	-	锤击	香蕉	警方破获一起“锤击”抢劫案，嫌犯作案后竟在现场淡定剥香蕉，声称“砸完人得补钾”。	嫌犯锤击便利店后慢悠悠剥香蕉，警察冲进来时他正对着监控比耶：“补钾是为了维持犯罪续航——你们警车空调开太猛，我手抖砸歪了。”	警方破获一起“锤击”抢劫案，嫌犯作案后竟在现场淡定剥香蕉，声称“砸完人得补钾”。
zh	-	移动	冰箱	移动公司信号太差，我只好把冰箱搬进基站——至少冷气能覆盖全家。	移动客服说信号覆盖“无死角”，我信了，结果冰箱贴在基站墙上三天，只学会了自动播放欠费提醒——连冷气都冻不住这烂网速。	移动公司信号太差，我只好把冰箱搬进基站——至少冷气能覆盖全家。
zh	-	锤击	南瓜	警方破获一起离奇案件：嫌犯竟用锤击南瓜冒充爆炸物，结果被路过的大妈当成免费万圣节装饰顺走了。	嫌犯用锤击南瓜伪造爆炸现场，结果被环保局当成“可降解恐袭装置”写进年度减废报告，还附赠一句：“建议推广，比真炸弹碳足迹低87%。”	警方破获一起离奇案件：嫌犯竟用锤击南瓜冒充爆炸物，结果被路过的大妈当成免费万圣节装饰顺走了。
zh	-	剥皮	南瓜	最近菜市场惊现“剥皮南瓜”，摊主说这是新品种，结果顾客一削皮——好家伙，里头居然藏着昨晚失踪的新闻主播！	菜市场新推“剥皮南瓜”，号称零农残、高纤维，结果主妇一刀下去，瓜瓤里掉出张纸条：“您订购的有机生活，已因财报亏损暂停配送。”	最近菜市场惊现“剥皮南瓜”，摊主说这是新品种，结果顾客一削皮——好家伙，里头居然藏着昨晚失踪的新闻主播！
zh	-	微波炉	书	微波炉转三分钟就能热饭，可这本书我翻了三年还是冷冰冰的——它大概需要“知识加热”功能。	微波炉三分钟能热透隔夜饭，这本书放进去转了三年，连书皮都没暖——可能它默认开启了“老板画饼专用保温模式”。	微波炉转三分钟就能热饭，可这本书我翻了三年还是冷冰冰的——它大概需要“知识加热”功能。
zh	-	喷洒	门	物业为防疫疯狂喷洒消毒水，我家门以为自己是蚊子，吓得自动反锁了。	物业喷洒消毒水太猛，我家门以为自己是阳性密接，连夜自闭反锁——现在连快递都得先做抗原才能敲。	物业为防疫疯狂喷洒消毒水，我家门以为自己是蚊子，吓得自动反锁了。
zh	-	测量	比萨	科学家最新研究发现，用比萨的直径来测量地球周长，误差仅差两块芝士——前提是得先吃完别浪费。	NASA工程师用比萨直径校准卫星轨道测量仪，结果发现误差不在设备——在实习生以为“深盘”是指地球曲率。	科学家最新研究发现，用比萨的直径来测量地球周长，误差仅差两块芝士——前提是得先吃完别浪费。
zh	-	拔掉插头	冰箱	拔掉插头后，冰箱连夜写了辞职信：这届主人连电都舍不得给，我冷不下去了！	拔掉插头那天，冰箱在业主群发了条消息：“各位邻居，本人因长期遭受冷暴力，现已断电离职——顺便，你家剩菜馊了别赖我。”	拔掉插头后，冰箱连夜写了辞职信：这届主人连电都舍不得给，我冷不下去了！
zh	-	称重	电话	刚在健身房称重完，电话就响了，我妈问我：“瘦了吗？”我说：“没，但手机秤显示通话时长又胖了三斤。”	刚站上体重秤，电话就响了，老板问：“项目进度称重了吗？”我低头看着数字苦笑：“称了，和我的发际线一样，轻得只剩焦虑。”	刚在健身房称重完，电话就响了，我妈问我：“瘦了吗？”我说：“没，但手机秤显示通话时长又胖了三斤。”
zh	-	去籽	番茄	番茄决定去籽创业，结果被做成番茄酱——连籽带梦全榨干了。	番茄高喊“去籽自由”，结果被端上餐桌时才发现——籽是去了，命也没了。	番茄决定去籽创业，结果被做成番茄酱——连籽带梦全榨干了。
zh	-	喷洒	杯子	环保局喷洒消毒水时太猛，路过的杯子都被吓得自动扣在桌上装死。	环保局喷洒消毒水的阵仗，吓得路人手里的杯子当场自爆——毕竟它宁可粉身碎骨，也不愿被写进“接触史”流调报告里。	环保局喷洒消毒水时太猛，路过的杯子都被吓得自动扣在桌上装死。
zh	-	关闭	混合器	听说隔壁实验室的混合器吵得像开摇滚演唱会，所长一怒之下把它关闭了——现在连咖啡都搅不动了！	所长一怒关闭了那台吵得像开摇滚演唱会的混合器，结果全实验室的咖啡、代码和人际关系——全糊成一团没法搅了。	听说隔壁实验室的混合器吵得像开摇滚演唱会，所长一怒之下把它关闭了——现在连咖啡都搅不动了！
zh	-	锤击	番茄	警方破获一起“锤击番茄”案，嫌犯坚称只是想给沙拉加点节奏感。	米其林评委误入凶案现场，尝了一口被锤击的番茄后点头：“嗯，暴力解构主义料理——就是下次别用凶器当厨具。”	警方破获一起“锤击番茄”案，嫌犯坚称只是想给沙拉加点节奏感。
zh	-	混合	南瓜	科学家成功将南瓜与咖啡混合，打工人终于能边啃早餐边提神——只是不小心咬到籽时，会喷出浓缩焦虑。	实验室刚推出“混合南瓜拿铁”，打工人喝完瞳孔地震——这哪是提神，分明是把KPI焦虑和房贷压力打成泥，再撒上肉桂粉伪装成秋天的希望。	科学家成功将南瓜与咖啡混合，打工人终于能边啃早餐边提神——只是不小心咬到籽时，会喷出浓缩焦虑。
zh	-	微波炉	笔记本电脑	微波炉加热剩饭，笔记本电脑加热老板的耐心——一个三分钟搞定，一个三年都凉不了。	微波炉三分钟热好饭，笔记本电脑三年都热不好老板画的饼——一个叮一声就熟，一个PPT翻烂了还是生的。	微波炉加热剩饭，笔记本电脑加热老板的耐心——一个三分钟搞定，一个三年都凉不了。
zh	-	钻孔	鸡蛋	科学家钻孔找新能源，结果打出个温泉蛋——原来地球早煮熟了鸡蛋当早餐！	地质队钻孔勘探，结果喷出一窝温泉蛋，队长盯着冒热气的井口叹气：“难怪预算总超支——原来地球拿我们的科研经费煮鸡蛋当宵夜。”	科学家钻孔找新能源，结果打出个温泉蛋——原来地球早煮熟了鸡蛋当早餐！
zh	-	剥皮	椰子	近日某地惊现“椰子剥皮术”——嫌犯竟试图用椰子壳给手机贴膜，结果被警方当场“剥皮”问话。	椰子刚被剥皮，警察就来了——原来它涉嫌无证上岗，冒充“天然防摔手机壳”，而真凶正躲在便利店用椰青汁给iPhone做心肺复苏。	近日某地惊现“椰子剥皮术”——嫌犯竟试图用椰子壳给手机贴膜，结果被警方当场“剥皮”问话。
zh	-	切割	鞋	警方破获一起离奇盗窃案，嫌犯竟用激光切割机偷鞋——结果只切出一双不合脚的寂寞。	嫌犯用激光切割机精准切走限量球鞋，结果脚型不配——科技能切开防盗门，切不开命运的42码诅咒。	警方破获一起离奇盗窃案，嫌犯竟用激光切割机偷鞋——结果只切出一双不合脚的寂寞。
zh	-	称重	西瓜	称重时西瓜突然开口：“别称了，再称我就要‘瓜’分你的工资了！”	菜市场电子秤刚显示“5.8公斤”，西瓜冷笑一声：“称重前先问问你老板——这月KPI达标了吗？没达标的话，我建议你直接把我算进你的绩效亏损里。”	称重时西瓜突然开口：“别称了，再称我就要‘瓜’分你的工资了！”
zh	-	锤击	冰箱	邻居投诉我家半夜锤击声扰民，其实我只是在用锤子教冰箱“冷静”——它又双叒叕把我的西瓜冻成冰疙瘩了！	物业说我半夜锤击冰箱扰民，可他们不懂——这台冰箱连西瓜都冻成冰雕了，不给它点物理降温，难道等它哪天把我的工资条也冻成“永久保存版”？	邻居投诉我家半夜锤击声扰民，其实我只是在用锤子教冰箱“冷静”——它又双叒叕把我的西瓜冻成冰疙瘩了！
zh	-	打开	混合器	他一打开混合器，结果把整个新闻发布会搅成了水果沙拉。	他一打开混合器，结果把“科技创新成果发布会”搅成了“厨房事故现场”，连PPT里的饼都糊了。	他一打开混合器，结果把整个新闻发布会搅成了水果沙拉。
zh	-	切割	椰子	警方破获一起离奇案件：嫌犯试图用椰子切割银行金库，结果只切开了自己的脑洞。	嫌犯坚信椰子能切割金库钢板，结果只切开了自己对物理法则的幻想——警方到场时，他正用椰汁给切割机降温，嘴里还念叨：“这届椰子不行。”	警方破获一起离奇案件：嫌犯试图用椰子切割银行金库，结果只切开了自己的脑洞。
zh	-	测量	熏肉	科学家最新研究发现，用熏肉当尺子测量幸福指数，结果误差大到连猪都笑出声。	实验室新来的实习生拿熏肉当标准件校准测量仪，导师看了一眼数据冷笑：“误差比你上个月的加班费还虚。”	科学家最新研究发现，用熏肉当尺子测量幸福指数，结果误差大到连猪都笑出声。
zh	-	放下	冰箱	他终于学会“放下”了——把前任塞进冰箱，省电又保鲜。	他终于学会“放下”了——把前任的微信拉黑后，顺手把她的照片塞进冰箱冷冻层，备注：“情感速冻，解冻即过期。”	他终于学会“放下”了——把前任塞进冰箱，省电又保鲜。
zh	-	测量	南瓜	科学家最新研究发现，用南瓜当标准单位测量宇宙膨胀速度，结果发现宇宙比预想的更“瓜”了。	NASA宣布用南瓜作为宇宙膨胀的新测量基准，结果发现不是宇宙在加速膨胀，是项目组把“南瓜”和“预算”搞混了——毕竟两者都又大又空还年年涨。	科学家最新研究发现，用南瓜当标准单位测量宇宙膨胀速度，结果发现宇宙比预想的更“瓜”了。
zh	-	切割	笔记本电脑	为了“切割”开支，他把笔记本电脑切成两半——现在上班用一半，摸鱼用另一半。	他高喊“切割成本”，手起刀落把笔记本电脑劈成两半——结果上班用的那半蓝屏了，摸鱼用的那半还在自动续费会员。	为了“切割”开支，他把笔记本电脑切成两半——现在上班用一半，摸鱼用另一半。
zh	-	洗	键盘	听说他洗键盘洗得太认真，结果把老板的骂人话都冲进了下水道。	他洗键盘洗到连Ctrl+C都冲走了，结果老板的脏话还在GitHub提交记录里闪闪发光。	听说他洗键盘洗得太认真，结果把老板的骂人话都冲进了下水道。
zh	-	摇晃	树	树被风吹得直摇晃，以为自己上了“自然界的动感单车”新闻头条。	树在风里摇晃了一整天，终于收到环保局通知：“恭喜入选本市‘碳中和动感单车’示范点——毕竟你光合作用时抖得比我们KPI还勤快。”	树被风吹得直摇晃，以为自己上了“自然界的动感单车”新闻头条。
zh	-	滚动	土豆	股市暴跌，散户们像滚动的土豆一样，越滚越瘪还停不下来。	股市一开盘，散户的账户余额像滚动的土豆——外表圆润，内里全是坑，还越滚越快停不下来。	股市暴跌，散户们像滚动的土豆一样，越滚越瘪还停不下来。
zh	-	扔	电话	他一生气把电话扔出窗外，结果砸中了楼下正在直播“手机耐摔测试”的网红。	他怒砸电话的瞬间，楼下网红正直播“徒手接住前任扔来的手机算不算复合信号”，弹幕狂刷：这波耐摔测试我投创科资讯一票。	他一生气把电话扔出窗外，结果砸中了楼下正在直播“手机耐摔测试”的网红。
zh	-	扔	橙子	某地市民为抗议物价飞涨，竟集体朝超市扔橙子，结果橙子没砸中货架，全滚进了老板的榨汁机——这波通胀，连水果都开始“自投罗网”了。	抗议者朝超市扔橙子，结果老板当场直播带货：“家人们看好了，这叫‘愤怒果粒橙’，刚被民意砸熟的，下单还送《反通胀榨汁教程》！”	某地市民为抗议物价飞涨，竟集体朝超市扔橙子，结果橙子没砸中货架，全滚进了老板的榨汁机——这波通胀，连水果都开始“自投罗网”了。
zh	-	煎炸	电话	新闻说有人边煎炸油条边煲电话粥，结果油锅冒烟，电话那头还以为他在演《烈火雄心》。	边煎炸油条边煲电话粥，油锅炸了，电话那头沉默三秒：“你这背景音……是米其林三星后厨，还是消防演习现场？”	新闻说有人边煎炸油条边煲电话粥，结果油锅冒烟，电话那头还以为他在演《烈火雄心》。
zh	-	锤击	微波	听说隔壁老王用锤击修微波炉，结果加热个包子差点把小区信号塔给震下来了。	老王拿锤击修微波炉，结果机器没热，小区5G先断了——现在他加热包子都得先给基站烧香。	听说隔壁老王用锤击修微波炉，结果加热个包子差点把小区信号塔给震下来了。
zh	-	拔掉插头	电话	新闻说某男子为省电拔掉插头，结果电话打不通——原来他把座机电源也拔了，现在只能靠鸽子传话。	他为省那三毛电费拔掉插头，结果电话打不通——客服回访时只收到一纸手写信：“勿念，座机已殉职，现靠托梦传讯。”	新闻说某男子为省电拔掉插头，结果电话打不通——原来他把座机电源也拔了，现在只能靠鸽子传话。
zh	-	称重	南瓜	超市南瓜集体罢工，称重时全喊“我们不是冬瓜，别按斤压榨！”	超市南瓜上秤前集体要求签《反压榨协议》：称重可以，但拒绝被叫“冬瓜预备役”。	超市南瓜集体罢工，称重时全喊“我们不是冬瓜，别按斤压榨！”
zh	-	测量	微波	科学家用微波炉测量地球温度，结果刚放进去，北极就化了。	科学家刚用微波炉测量完地球温度，客服就打来：“先生，您订购的‘速溶北极’已发货，请注意查收。”	科学家用微波炉测量地球温度，结果刚放进去，北极就化了。
zh	-	称重	番茄	超市新规定：买番茄必须先称重，结果它一上秤就哭诉：“我这么红，不是因为熟，是因为社恐！”	超市称重台前，番茄刚放上秤就报警：“超重？我这是被资本催熟的焦虑红！”	超市新规定：买番茄必须先称重，结果它一上秤就哭诉：“我这么红，不是因为熟，是因为社恐！”
zh	-	测量	西瓜	科学家最新研究发现，用西瓜测量全球变暖速度最准——毕竟它一热就“爆”了。	气象局最新“测量”方案：把西瓜放户外，爆裂时间直接换算成碳排放指数——毕竟人类的承诺比瓜皮还脆。	科学家最新研究发现，用西瓜测量全球变暖速度最准——毕竟它一热就“爆”了。
