id	text
es_0001	¡Milanesas de papel higiénico? ¡Ahora hasta el secuestro huele a baño!
es_0002	Cristiano responde sobre el Balón de Oro como si ya lo tuviera en la estantería.
es_0003	Se probó el despido... y no le quedó.
es_0004	Los Tesla usados ya no son *premium*, ¡son *preocupación*!
es_0005	La amabilidad: porque ser un ogro ya no da puntos en la app de la vida.
es_0006	Este exatleta tiene un récord mundial que hasta el tiempo se rindió.
es_0007	Murió por un choripán con brócoli… hasta la muerte tiene mal gusto.
es_0008	El avión que ya vio nacer a tus abuelos... ¡y sigue volando!
es_0009	¡Vegano pero con carnitas pa’l hambre!
es_0010	La azafata que voló... con el oro en la maleta.
es_0011	El Mar Muerto se pone salero... ¡y creativo!
es_0012	¡Hasta los muñecos inflables pagan peaje en este municipio!
es_0013	Verstappen y el jefe de Mercedes se toman un mojito en el yate… ¡y la F1 se ahoga en rumores!
es_0014	Ahora tu móvil no solo vibra... ¡chismea!
es_0015	Trump le dijo a Rusia: “¡O paras la guerra o te mando un tuit muy grave!”
es_0016	Vivir donde no necesitas GPS para cruzar la calle te hace caminar más… ¡y sudar menos en el auto!
es_0017	El “padrino de la IA” dice que para sobrevivir a la superinteligencia… mejor apágala y vete a pescar.
es_0018	Shrek 5: todavía no, ogro.
es_0019	Este domingo, un asteroide tímido pasará rozando la Tierra… ¡y traerá recuerdos de cuando uno sí se atrevió a estrellarse!
es_0020	¡Spotify se quedó sin amigos!
es_0021	Tu cerebro ya no tiene secretos… ¡ni siquiera de tus pensamientos más vergonzosos!
es_0022	Apagan coches eléctricos con una bañera high-tech.
es_0023	¡Alerta spoiler: la Tierra se cancela en 1.000 millones de años!
es_0024	"Salah le dio un abrazo de oso a Darwin, y el uruguayo le susurró: ""Cuidado con los memes, che""."
es_0025	YouTube Music te espía… ¡pero con buen gusto!
es_0026	Se cayó el techo antes que la banda… ¡y ya tenían el chiste listo!
es_0027	El café es seguro… salvo por esos “ingredientes sorpresa” que no pediste.
es_0028	¡San Martín mandó una carta y Sudamérica se independizó por WhatsApp!
es_0029	Yamandú Orsi se va a confesar... ¡pero con el Papa León XIV!
es_0030	¿El mercado laboral entre abril y junio? Pues... trabajando a medio gas y con siesta incluida.
es_0031	De Canelones a Montevideo: el GPS de la Policía marcaba “recalculando… pero no te libras”.
es_0032	¿Un virus o los conejos descubrieron el cosplay?
es_0033	¡Peñarolenses al ómnibus… pero sin llevar el estadio en la mochila!
es_0034	Sorrentinos estrellados: la ciencia ya no es aburrida, ¡es comestible!
es_0035	¡Hasta en el fondo de la mina hay un hincha de Peñarol!
es_0036	Primavera: ¿Septiembre es mes o vacaciones disfrazadas?
es_0037	F1 2026: todos con el mismo motor… ¡hasta el aburrimiento!
es_0038	¿Robots en clase? Ahora los alumnos copian hasta de la pizarra inteligente.
es_0039	"Nicaragua pone ""reservado"" hasta el aire cerca de sus fronteras."
es_0040	Del Toro en Venecia: lloró, aplaudió y le dedicó una película a sus papás… antes de que la IA los reemplace.
es_0041	El Ejecutivo le pone chile a las refresqueras en el Paquete Económico 2026.
es_0042	Si planto marihuana, ¿soy una planta o un narco con raíces?
es_0043	El jaguar: de dios amenazado a trending topic con 10% más músculo.
es_0044	Tom Cruise mira a Pedro Pascal como si le debiera Wi-Fi.
es_0045	"""El alzhéimer no se cura con vitaminas ni crucigramas, dice el neurólogo (y mi abuela sigue haciendo los dos)""."
es_0046	El Banco de la República avisa: tu bolsillo se achica más rápido que tus jeans en la secadora.
es_0047	El call center más encarcelado: atendían a 10.000 víctimas... sin opción de colgar.
es_0048	¡Apaga esos botones antes de que tu celular se convierta en el próximo villano de Netflix!
es_0049	¡Spoiler alerta de 1912 en libro de 1898!
es_0050	Messi se despide de las eliminatorias... ¡y de la paciencia de Venezuela!
es_0051	El dulce favorito que te besa... y te diagnostica.
es_0052	Meta le pone boca bilingüe a los Reels para que hasta tu abuela en Tokio entienda tus bailes.
es_0053	El Universal resucitó en Instagram... ¡y sin contraseña de '123456' esta vez!
es_0054	Día del Gamer: cuando abuelos y nietos se pelean por el control, no por el postre.
es_0055	El Colegio Médico dice que la ley hospitalaria tiene más agujeros que un colador.
es_0056	Yamagochi: cuando un japonés le pone onigiri al alma salvadoreña.
es_0057	¿Será su boda o el lanzamiento de un nuevo fondo de inversión?
es_0058	Despierta como si el Wi-Fi no existiera… ¡y en realidad no existía!
es_0059	Porque los rayos no vienen con modo “lavavajillas”.
es_0060	Sabrina y Chappell: mismos escenarios, distintos cafés con leche.
es_0061	¡Los Marambio se esfumaron… en la cárcel!
es_0062	"""El gerente de Smartfit soñando en grande: ‘¡Podríamos crecer hasta en la luna!’"""
es_0063	El desempleo se aleja del 9%, pero los empleos formales huyen más rápido que mi motivación los lunes.
es_0064	La nueva Canon: pequeña como tu paciencia, liviana como tu billetera y poderosa como tus ganas de salir en trending.
es_0065	"La Duarte: donde hasta las marcas dicen ""¡yo no fui!"""
es_0066	¡Los hijos también lloran... pero desde el Congreso!
es_0067	El termómetro se derritió de vergüenza.
es_0068	La banda que desarmaba carros como si fueran Legos en el Distrito Nacional.
es_0069	La cerveza sin alcohol que te emborracha… de ilusión.
es_0070	Los taxistas neoyorquinos vs. sus nuevos rivales sin licencia… ni pulso.
es_0071	Fuimos al Mundial, la plata entró... y los resultados se fueron de vacaciones.
es_0072	La ambulancia vs. el tráfico limeño: spoiler, pierde la vida (la del paciente).
es_0073	Arana y su gabinete pelean como gallinas por el hermanísimo de la presidenta.
es_0074	¿Chicharrón con sabor a mar? ¡Tu freidora de aire ya no solo vuela, también navega!
es_0075	Triple choque en la ruta al Atlántico: tres heridos y un solo culpable… el GPS.
es_0076	Tráiler se despistó y convirtió la carretera en estacionamiento.
es_0077	¡Conozca a la mosca que pone larvas donde no le pagan renta!
es_0078	¡Crecimos un 4%, ahora queremos carreteras… antes de que el éxito se nos desinfle!
es_0079	Quieren meterle gas al país por tubo o por barco... ¡como si fuera un smoothie marino!
es_0080	¡Alivio para los que tienen más bienes que memoria!
es_0081	Psy se metió en líos... ¡y esta vez no es por el baile del caballo!
es_0082	El PSG de Willian Pacho le mete dos chilenas al Toulouse... ¡y ni siquiera es viernes!
es_0083	La letra que tu contraseña necesita… ¡y tu ex no!
es_0084	La Lotería Nacional le da suerte a los emprendedores… ¡y hasta les presta el modelo de negocio!
es_0085	Los pirómanos: el 4% de los incendios y el 100% del drama.
es_0086	La reforma del hotel Princesa Sofía dejó al exCEO más en la cárcel que en una suite.
es_0087	El dragón azul: la babosa que llegó a calentarse y se quedó a arruinar tu día en la playa.
es_0088	La IA y las redes: donde hasta tu abuela corre riesgos... y no solo de mandar memes.
es_0089	Cómo engañar a la luz para que se vaya de vacaciones sin ti.
es_0090	El picudo rojo se puso las pilas… y las palmeras en Uruguay, no.
es_0091	¿Otra vez viendo las 12:21? La numerología dice que tu reloj está más perdido que tú.
es_0092	El cisne se cayó… ¡y el lago se secó de la vergüenza!
es_0093	"¡Cuidado con los ""cirujasos"" en Nuevo León!"
es_0094	Aguacates tan verdes que hasta blanqueaban narco.
